iter	Passed	Remaining
0	2	248
1	4	214
2	6	208
3	8	197
4	9	181
5	10	165
6	12	164
7	14	165
8	15	160
9	16	151
10	18	147
11	19	143
12	20	137
13	22	135
14	23	132
15	25	134
16	27	136
17	29	134
18	30	131
19	32	131
20	34	130
21	35	127
22	37	124
23	39	123
24	40	122
25	41	119
26	43	117
27	44	114
28	45	111
29	47	109
30	48	107
31	49	105
32	50	102
33	52	101
34	53	99
35	54	97
36	55	94
37	57	93
38	58	91
39	59	89
40	61	87
41	61	84
42	62	82
43	64	81
44	66	80
45	67	78
46	68	77
47	69	75
48	71	74
49	72	72
50	73	70
51	74	68
52	75	67
53	77	65
54	77	63
55	78	61
56	79	60
57	80	58
58	81	56
59	82	54
60	82	52
61	84	51
62	85	49
63	85	48
64	86	46
65	87	45
66	88	43
67	89	42
68	91	40
69	92	39
70	93	38
71	94	36
72	96	35
73	97	34
74	97	32
75	98	31
76	99	29
77	100	28
78	100	26
79	101	25
80	103	24
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	110	15
88	110	13
89	111	12
90	112	11
91	113	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	118	1
99	119	0
